t,dayofweek,weekend,y,y_t_1
10,1,0,12.260631578947368,6.763000000000001
11,2,0,11.48080769230769,12.260631578947368
12,3,0,9.180538461538461,11.48080769230769
13,4,0,9.83175,9.180538461538461
14,5,0,9.498111111111111,9.83175
15,6,1,7.981384615384615,9.498111111111111
16,0,1,6.508636363636364,7.981384615384615
17,1,0,8.073736842105264,6.508636363636364
18,2,0,9.408045454545455,8.073736842105264
19,3,0,11.187388888888888,9.408045454545455
20,4,0,7.762708333333333,11.187388888888888
21,5,0,7.42096,7.762708333333333
22,6,1,7.988470588235295,7.42096
23,0,1,7.953882352941177,7.988470588235295
24,1,0,8.16696,7.953882352941177
25,2,0,8.0582,8.16696
26,3,0,7.185344827586207,8.0582
27,4,0,9.799772727272726,7.185344827586207
28,5,0,7.6365,9.799772727272726
29,6,1,8.709999999999999,7.6365
1,0,1,8.446,8.709999999999999
2,1,0,7.159307692307692,8.446
3,2,0,7.997857142857143,7.159307692307692
4,3,0,6.945333333333333,7.997857142857143
5,4,0,7.234766666666667,6.945333333333333
6,5,0,9.364818181818181,7.234766666666667
7,6,1,7.1603200000000005,9.364818181818181
8,0,1,7.031999999999999,7.1603200000000005
9,1,0,9.90544,7.031999999999999
10,2,0,7.184107142857143,9.90544
11,3,0,7.81995,7.184107142857143
12,4,0,9.039736842105263,7.81995
13,5,0,9.897272727272728,9.039736842105263
14,6,1,7.608666666666668,9.897272727272728
15,0,1,10.594199999999999,7.608666666666668
16,1,0,8.1475,10.594199999999999
17,2,0,6.0192,8.1475
18,3,0,6.3625,6.0192
19,4,0,7.746666666666666,6.3625
20,5,0,9.130833333333333,7.746666666666666
21,6,1,10.515,9.130833333333333
22,0,1,6.3371666666666675,10.515
23,1,0,13.560666666666668,6.3371666666666675
24,2,0,9.4695,13.560666666666668
25,3,0,11.772,9.4695
26,4,0,17.9185,11.772
27,5,0,16.495,17.9185
28,6,1,6.0865,16.495
29,0,1,3.43,6.0865
30,1,0,11.948333333333332,3.43
31,2,0,13.476333333333335,11.948333333333332
1,3,0,10.283000000000001,13.476333333333335
2,4,0,10.611749999999995,10.283000000000001
3,5,0,10.9405,10.611749999999995
4,6,1,5.424333333333333,10.9405
5,0,1,11.1135,5.424333333333333
6,1,0,10.726666666666667,11.1135
7,2,0,4.5725,10.726666666666667
8,3,0,16.2825,4.5725
9,4,0,9.616999999999999,16.2825
10,5,0,6.503800000000001,9.616999999999999
11,6,1,10.229666666666667,6.503800000000001
12,0,1,0.749,10.229666666666667
13,1,0,4.539,0.749
14,2,0,8.329,4.539
15,3,0,7.499,8.329
16,4,0,11.597000000000001,7.499
17,5,0,6.288,11.597000000000001
18,6,1,7.6375,6.288
19,0,1,8.49175,7.6375
20,1,0,14.161249999999999,8.49175
21,2,0,15.852,14.161249999999999
22,3,0,13.918600000000001,15.852
23,4,0,7.2085,13.918600000000001
24,5,0,13.769,7.2085
25,6,1,11.18825,13.769
26,0,1,13.308,11.18825
27,1,0,10.250499999999999,13.308
28,2,0,6.71025,10.250499999999999
29,3,0,7.890000000000001,6.71025
30,4,0,7.329125,7.890000000000001
1,5,0,9.092749999999999,7.329125
2,6,1,9.949,9.092749999999999
3,0,1,13.515333333333333,9.949
4,1,0,10.290333333333335,13.515333333333333
5,2,0,14.347,10.290333333333335
6,3,0,7.422499999999999,14.347
7,4,0,6.369,7.422499999999999
8,5,0,9.1435,6.369
9,6,1,17.914285714285715,9.1435
10,0,1,4.9872499999999995,17.914285714285715
11,1,0,11.732999999999999,4.9872499999999995
12,2,0,17.3325,11.732999999999999
13,3,0,8.18575,17.3325
14,4,0,4.659,8.18575
15,5,0,14.484666666666667,4.659
16,6,1,12.1995,14.484666666666667
17,0,1,9.310666666666668,12.1995
18,1,0,11.236625,9.310666666666668
